file,a,t1,t2,annotation,tier,tier_type,participant,annotator,ref,parent_tier,start,end,duration
file_001,a1322,ts579,ts582,GLOSS-0864,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,33335,33495,160
file_001,a1323,ts585,ts609,GLOSS-0521,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,33615,34095,480
file_001,a1324,ts669,ts677,GLOSS-0521,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,36455,36815,360
file_001,a1325,ts681,ts707,GLOSS-0864,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,37095,38615,1520
file_001,a1327,ts741,ts744,GLOSS-1657,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,40055,40215,160
file_001,a1329,ts1488,ts1496,GLOSS-1656,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,85580,85740,160
file_001,a1330,ts1567,ts1570,GLOSS-1422,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,89105,89225,120
file_001,a1333,ts2687,ts2697,GLOSS-0865,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,151510,151710,200
file_001,a1335,ts3168,ts3170,GLOSS-1046,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,171895,171975,80
file_001,a1336,ts3175,ts3178,GLOSS-1047,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,172095,172295,200
file_001,a1343,ts7816,ts7833,GLOSS-0522,gloss_LH_S1,gloss_LH,Signer_001,NA,NA,NA,447175,447975,800
file_001,a1,ts3,ts6,GLOSS-1466,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,2015,2055,40
file_001,a3,ts15,ts18,GLOSS-1278,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,2455,2575,120
file_001,a4,ts21,ts24,GLOSS-1523,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,2615,2855,240
file_001,a5,ts27,ts30,GLOSS-1324,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,2975,3095,120
file_001,a6,ts33,ts40,GLOSS-1524,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,3215,3575,360
file_001,a7,ts43,ts46,GLOSS-1411,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,4015,4375,360
file_001,a8,ts49,ts52,GLOSS-0001,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,4535,4695,160
file_001,a9,ts55,ts58,GLOSS-0650,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,4775,4855,80
file_001,a10,ts61,ts64,GLOSS-1411,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,4975,5095,120
file_001,a12,ts77,ts80,GLOSS-0002,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,5895,6255,360
file_001,a13,ts83,ts86,GLOSS-1521,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,6310,6350,40
file_001,a14,ts89,ts92,GLOSS-0651,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,6470,6710,240
file_001,a15,ts95,ts98,GLOSS-1522,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,7030,7350,320
file_001,a16,ts101,ts104,GLOSS-1656,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,7470,7590,120
file_001,a17,ts107,ts112,GLOSS-1411,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,7790,8710,920
file_001,a18,ts117,ts120,GLOSS-1653,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,9110,9550,440
file_001,a19,ts123,ts126,GLOSS-1521,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,9630,9750,120
file_001,a20,ts129,ts132,GLOSS-0414,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,9830,9950,120
file_001,a21,ts135,ts138,GLOSS-1479,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,10110,10470,360
file_001,a22,ts141,ts144,GLOSS-0415,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,10630,12550,1920
file_001,a23,ts151,ts154,GLOSS-1467,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,12955,13475,520
file_001,a25,ts163,ts166,GLOSS-0003,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,14355,14635,280
file_001,a26,ts169,ts172,GLOSS-1452,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,14835,14995,160
file_001,a27,ts175,ts178,GLOSS-1164,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,15035,15195,160
file_001,a28,ts181,ts184,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,15395,15435,40
file_001,a29,ts187,ts190,GLOSS-0004,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,15515,15595,80
file_001,a30,ts193,ts196,GLOSS-1021,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,15755,15875,120
file_001,a31,ts199,ts202,GLOSS-1479,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,15995,16195,200
file_001,a32,ts205,ts208,GLOSS-0416,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,16355,16555,200
file_001,a34,ts221,ts224,GLOSS-0005,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,17035,17195,160
file_001,a35,ts227,ts230,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,17315,17395,80
file_001,a36,ts233,ts236,GLOSS-1525,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,17555,17875,320
file_001,a37,ts239,ts242,GLOSS-1479,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,18115,18395,280
file_001,a38,ts245,ts248,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,18595,18635,40
file_001,a39,ts255,ts258,GLOSS-1090,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,18835,18915,80
file_001,a40,ts261,ts264,GLOSS-1521,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,18955,19035,80
file_001,a41,ts267,ts270,GLOSS-0006,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,19195,19955,760
file_001,a42,ts273,ts276,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,20115,20195,80
file_001,a43,ts279,ts282,GLOSS-1479,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,20315,20755,440
file_001,a44,ts285,ts288,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,20915,20955,40
file_001,a45,ts295,ts298,GLOSS-0652,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,21035,21155,120
file_001,a46,ts301,ts304,GLOSS-1657,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,21275,21315,40
file_001,a47,ts307,ts310,GLOSS-1022,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,21475,21595,120
file_001,a48,ts313,ts316,GLOSS-1654,gloss_RH_S1,gloss_RH,Signer_001,NA,NA,NA,21755,21835,80
